Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-hadoop-backup,07/01/20 00:00:00,07/02/20 00:00:00,2038423
AmazonS3,StandardStorage,StorageObjectCount,dmap-test-bucket,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-wifi-db,07/01/20 00:00:00,07/02/20 00:00:00,6
AmazonS3,StandardStorage,StorageObjectCount,dataquality.seera.report,07/01/20 00:00:00,07/02/20 00:00:00,588
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,84708
AmazonS3,StandardStorage,StorageObjectCount,dmap-public-alb-logs,07/01/20 00:00:00,07/02/20 00:00:00,261173
AmazonS3,StandardStorage,StorageObjectCount,dmap-public,07/01/20 00:00:00,07/02/20 00:00:00,38
AmazonS3,HeadBucket,EU-Requests-Tier2,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,403
AmazonS3,StandardStorage,StorageObjectCount,dmap-sap-omr,07/01/20 00:00:00,07/02/20 00:00:00,4487
AmazonS3,ListMultipartUploads,EU-C3DataTransfer-Out-Bytes,dmap-sap-daas,07/01/20 00:00:00,07/02/20 00:00:00,6534
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-grafana,07/01/20 00:00:00,07/02/20 00:00:00,67
AmazonS3,UploadPart,EU-Requests-Tier1,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,5919
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-hdp-mysql-dump,07/01/20 00:00:00,07/02/20 00:00:00,217
AmazonS3,CompleteMultipartUpload,EU-USE1-AWS-In-Bytes,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,799065
AmazonS3,StandardStorage,StorageObjectCount,test-omr-logs,07/01/20 00:00:00,07/02/20 00:00:00,13068
AmazonS3,PutObject,EU-APN3-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,17295
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-grafana,07/01/20 00:00:00,07/02/20 00:00:00,42222264
AmazonS3,ReadACL,EU-Requests-Tier2,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,557
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,7668238489080
AmazonS3,PutObject,EU-EUC1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,58895
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,edl-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,3480
AmazonS3,PutObject,EU-APS3-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,55313
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,513488145096
AmazonS3,ReadACL,EU-SAE1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,8310
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-public-tableau-nlb-logs,07/01/20 00:00:00,07/02/20 00:00:00,37320
AmazonS3,PutObject,EU-C3DataTransfer-In-Bytes,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,102260086
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,tapro-atg-t1-complete,07/01/20 00:00:00,07/02/20 00:00:00,2082359885256
AmazonS3,PutObject,EU-C3DataTransfer-In-Bytes,dmap-public-alb-logs,07/01/20 00:00:00,07/02/20 00:00:00,32399181
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-hadoop-backup,07/01/20 00:00:00,07/02/20 00:00:00,30257777780160
AmazonS3,PutObject,EU-C3DataTransfer-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,76825547
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-odl-1,07/01/20 00:00:00,07/02/20 00:00:00,5434542087744
AmazonS3,PutObject,EU-SAE1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,53447
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-public,07/01/20 00:00:00,07/02/20 00:00:00,28110154440
AmazonS3,PutObject,EU-MES1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,17220
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-sap,07/01/20 00:00:00,07/02/20 00:00:00,1098190346808
AmazonS3,ReadACL,EU-USE2-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,8310
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,34823527632
AmazonS3,PutObject,EU-EUW3-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,54962
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-test-bucket,07/01/20 00:00:00,07/02/20 00:00:00,37563672
AmazonS3,PutObject,EU-USE2-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,55779
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-d3js,07/01/20 00:00:00,07/02/20 00:00:00,3191376
AmazonS3,PutObject,EU-EUW2-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,54450
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-s3-access-logs,07/01/20 00:00:00,07/02/20 00:00:00,347981827344
AmazonS3,PutObject,EU-USE1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,521529
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-data-bucket,07/01/20 00:00:00,07/02/20 00:00:00,98300039880
AmazonS3,PutObject,EU-CAN1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,55677
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,lump-data,07/01/20 00:00:00,07/02/20 00:00:00,171279264
AmazonS3,ReadACL,EU-CAN1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,edl-online-backup,07/01/20 00:00:00,07/02/20 00:00:00,36326005345560
AmazonS3,ReadACL,EU-APS2-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-wifi-db,07/01/20 00:00:00,07/02/20 00:00:00,904158792
AmazonS3,PutObject,EU-APS1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,54739
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-seo-auto-reports,07/01/20 00:00:00,07/02/20 00:00:00,18201312
AmazonS3,PutObject,EU-EUS1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,17208
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-hub,07/01/20 00:00:00,07/02/20 00:00:00,1312598352
AmazonS3,ReadACL,EU-EUW2-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-ranger-audit-logs,07/01/20 00:00:00,07/02/20 00:00:00,540047802000
AmazonS3,ListBucket,EU-Requests-Tier1,dmap-data-bucket,07/01/20 00:00:00,07/02/20 00:00:00,77988
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-comp-price,07/01/20 00:00:00,07/02/20 00:00:00,31153795752
AmazonS3,ListBucket,EU-Requests-Tier1,lump-data,07/01/20 00:00:00,07/02/20 00:00:00,84299
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,test-omr-logs,07/01/20 00:00:00,07/02/20 00:00:00,570316968
AmazonS3,ListBucket,EU-C3DataTransfer-Out-Bytes,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,97214843228
AmazonS3,ListBucket,EU-C3DataTransfer-Out-Bytes,dmap-prod-sync-stage,07/01/20 00:00:00,07/02/20 00:00:00,10006272
AmazonS3,PutObject,EU-APN2-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,55399
AmazonS3,PutObject,EU-Requests-Tier1,dmap-sap-daas,07/01/20 00:00:00,07/02/20 00:00:00,26
AmazonS3,PutObject,EU-Requests-Tier1,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,3157
AmazonS3,PutObject,EU-USW2-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,169210
AmazonS3,OneZoneIAStorage,StorageObjectCount,dmap-prod-qliksense-backup,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,StandardStorage,StorageObjectCount,cf-templates-1q938a0vie91x-eu-west-1,07/01/20 00:00:00,07/02/20 00:00:00,346
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-sync-stage,07/01/20 00:00:00,07/02/20 00:00:00,12095
AmazonS3,StandardStorage,StorageObjectCount,prod-rds-error-slowquey-logs,07/01/20 00:00:00,07/02/20 00:00:00,2
AmazonS3,StandardStorage,StorageObjectCount,testing-cloudwatch-logs,07/01/20 00:00:00,07/02/20 00:00:00,6916
AmazonS3,StandardStorage,StorageObjectCount,lump-data,07/01/20 00:00:00,07/02/20 00:00:00,7
AmazonS3,StandardStorage,StorageObjectCount,dmap-artifacts,07/01/20 00:00:00,07/02/20 00:00:00,127
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-hub,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,StandardStorage,StorageObjectCount,prod-winter-at-tantora-bigquery,07/01/20 00:00:00,07/02/20 00:00:00,2
AmazonS3,StandardStorage,StorageObjectCount,esmash,07/01/20 00:00:00,07/02/20 00:00:00,213
AmazonS3,StandardStorage,StorageObjectCount,dmap-tableau-backup,07/01/20 00:00:00,07/02/20 00:00:00,5987
